id;category;brand;article_id;order_id;is_purchased;created_at;created_by;updated_at;updated_by
1;attached cinema jaunty;resonate outside;modulo remit;press sadly;true;2024-07-16T04:25:32;protrude unlike meanwhile;2024-07-15T21:35:24;yahoo
2;wetly care consequently;terribly well-to-do;lighthearted;yet vast;true;2024-07-16T03:48:47;um;2024-07-16T04:52:42;around likely
3;ready;preen provided;qua who;shrilly slowly;false;2024-07-15T19:52:53;behind intently;2024-07-16T04:08:09;burrow nasal
4;monsoon amid;finally aboard provided;belated;offend excepting;false;2024-07-15T18:18:21;eligibility;2024-07-16T06:32:12;forehead whoa with
5;guest accounting;clumsy sister-in-law thankfully;up upbeat heavy;of oof;true;2024-07-15T18:30:10;understatement;2024-07-16T02:23:13;quaint dissuade
6;phew kiddingly;dazzling rarely winery;since whoever among;acculturate;false;2024-07-15T18:37:21;whirlwind once respect;2024-07-15T10:31:20;trade slouch bungalow
7;huzzah bijou supposing;plasticize glorious decompose;dolphin;exclude asterisk;true;2024-07-15T14:02:04;whoever;2024-07-15T21:02:25;worth
8;critical predict;turbulent fairly;ha;regarding culvert;false;2024-07-15T07:39:37;stamp till;2024-07-16T03:08:08;since furthermore sore
9;dizzy amid as;detract;yowza until besides;quicker;false;2024-07-15T15:55:21;ugly;2024-07-15T23:45:35;weird whether hmph
10;beginner feast builder;consulting disastrous uncommon;stealthily;provided;false;2024-07-15T22:32:32;gander likewise bugle;2024-07-15T22:15:31;without rev
